,auc,accuracy,predictions,probabilities
RandomForest,1.0,1.0,[0 1 0 0 0 1],[0.245 0.785 0.04  0.015 0.04  0.93 ]
GradientBoosting,1.0,1.0,[0 1 0 0 0 1],"[1.47954523e-08 9.99999985e-01 1.47954523e-08 1.47954523e-08
 1.47954523e-08 9.99999985e-01]"
LogisticRegression,1.0,1.0,[0 1 0 0 0 1],"[2.41206919e-01 9.96209333e-01 2.99304186e-03 8.91626284e-05
 2.37324347e-01 9.60510210e-01]"
SVM,1.0,1.0,[0 1 0 0 0 1],[0.11166424 0.73227225 0.01640306 0.02436466 0.03813985 0.49424278]
NeuralNetwork,1.0,1.0,[0 1 0 0 0 1],"[4.80863512e-02 9.99408851e-01 4.83850341e-06 9.38673926e-07
 1.53743818e-02 9.52466915e-01]"
BalancedRandomForest,1.0,1.0,[0 1 0 0 0 1],[0.28  0.795 0.055 0.02  0.025 0.895]
Ensemble,1.0,1.0,[0 1 0 0 0 1],[0.08304557 0.9325158  0.04777692 0.02776609 0.05543953 0.871701  ]
